rank,Unnamed: 0,restaurant,Price,Rating,Dishes,review-1,review-1.1,review-2,review-2.1,review-3,review-3.1,review-4,review-4.1,review-5,reviews-5,review_count,review-1_sentiment,review-2_sentiment,review-3_sentiment,review-4_sentiment,review-5_sentiment,overall_sentiment,rating_norm,sent_norm,volume_boost,rec_score
54,48,Aloraa Garden Kitchen & Bar,1500,4.5,"Maharashtrian, Continental, Chinese, Kebab, Biryani, Fast Food, Desserts, Bar Food

₹1,500 for two","The food was average. Zomato displayed a 20% discount at the time of booking, but it was not applied during payment.",5,Raj was good in service,4,"Nayan Being the best !!Provided a good service!! Good ambience !! Good music!!
Peace to visit anyday!!",3,,,,,3,-0.996457756,0.999818027,0.999864221,,,0.334408164,0.9,0.667204082,0.6,0.743521429
55,50,Independence Brewing Company,2500,4.5,"American, Continental, Pizza, Fast Food, Salad, Beverages

₹2,500 for two",food is average . somewhere the place has lost its sheen and charm,1,Excellent food and service,4,Gonesh ..great service,2,,,,,3,-0.999752223,0.999868751,0.999459326,,,0.333191951,0.9,0.666595976,0.6,0.743308591
56,41,Hotel Sanket Inn,950,3.6,"North Indian, Chinese, Seafood, Mughlai, Biryani, Beverages

₹950 for two","First thing is when we entered the restaurant they informed us this restaurant accepts Zomato dining pay option. We ordered our foods and specifically told them to make some of the starters spicy, the waiter even told yes we'll do that. The Butter Naan which were ordered was not even having butter on them. Coming to the starters it was not spicy at all rather all were sweeter. Later when we asked why isn't it spicy the utter reply of the waiter was these starters can never be made spicy at all, Why can't you people tell that in first place???, Instead you told yes we will make it spicy. Next we had some 7up and mirinda juice which was labelled as mrp 40-45. When they gave the bill, it was...read more",1,There is nothing which I didn't like at Sanket barbeque. This place is like a hidden Gem. Scrumptious Buffet spread. Staff is prompt. Should re visit for more,3,Food and staffs were good and cooperative. Need to work on serving part as the starter serving service was late. Dhananjay was very cooperative and polite.,2,"Good place, but need to work out on service part.
Food service time is more . But staff is attentive they match up it.
Chicken Angara kebab was great it was juicy & properly cooked.",1,,,4,-0.989838719,0.769959152,0.999048769,0.999329329,,0.444624633,0.72,0.722312316,0.8,0.740809311
57,94,Cafe Love Lock,350,3.6,"Fast Food, Sandwich, Burger, Coffee

₹350 for two",customizable food,1,Very best cafe in pcmc bet test bset food quality,3,,,,,,,2,0.998068392,0.99609071,,,,0.997079551,0.72,0.998539776,0.4,0.737488921
58,110,Intactu,1500,4.2,"North Indian, Biryani, Mughlai, Pizza, Pasta, Italian, Fast Food, Desserts

₹1,500 for two","The place was really nice, the service was also good as well as the staff. Must visit:)",5,,,,,,,,,1,0.999811351,,,,,0.999811351,0.84,0.999905676,0.2,0.735966986
59,52,Yakii,1500,4.4,"Asian, Thai, Sushi, Desserts, Beverages

₹1,500 for two","amazing food, very good service by babli and ujwal. crazy ambience. must visit",1,Great service and ambience,3,the service was poor and the started served had to be made again as it was overcooked and oily (had ordered spring roll and it was not coated properly and broke while frying and was not checked by the chef before serving). This wasted 15 min of our time.,2,,,,,3,0.999867558,0.99986279,-0.999594867,,,0.333378494,0.88,0.666689247,0.6,0.735341236
60,112,Spice Factory,1800,4.1,"North Indian, Mughlai, Chinese, Biryani, Pizza, Pasta, Beverages

₹1,800 for two",Full of taste love to try again..,3,,,,,,,,,1,0.999678493,,,,,0.999678493,0.82,0.999839246,0.2,0.727943736
61,24,Panch-Sattva,1200,4.4,"South Indian, Beverages, Desserts

₹1,200 for two","A very authentic, fresh, tasty and welcoming experience. Do try this place without a miss.

The ingredients and preparation are very fresh and staff is nurtured with good values which actually reflects on their food. The pricing range is very good and bang for every buck you pay. For people looking for quality servings and are just in right mood to have an authentic south indian taste food with a variety of options, this is the right place. They do have a thali option which itself is a good way to explore their best flavours at once.

When I discussed further about the recipes with the owner i found those are actually from the books of her grandparents. So you’re getting it as an...read more",1,"Panch-Satva is one of the latest addition into the array of restaurants at Balewadi High Street. While Balewadi High Street is full of party places designed to attract young adults, Pancha-Sattva stands out as a unique destination for a family out. Serving vegetarian South Indian food, Panch-Sattva is the only restaurant in it's category at Balewadi High Street. Two wheeler and Four Wheeler parking available. I visited Pancha-Sattva with a friend on a weekend, Saturday morning for late breakfast. It is a small restaurant with indoor and outdoor seating. The indoor ambience can be defined as positive and vibrant. However, it seems to noisy and crammed on a busy day. Being a cool rainy...read more",5,service is too slow and taste needs to be improved the idli batter was sour.,3,"Very bad food, nowhere close to South Indian taste, no taste at all, in fact. Below average service not recommended.",2,,,4,0.999853253,0.997806132,-0.999773204,-0.999734104,,-0.000461981,0.88,0.49976901,0.8,0.726919153
62,29,Favela,1500,4.2,"Continental, North Indian, Chinese, Pizza, Fast Food, Biryani, Desserts, Bar Food

₹1,500 for two",All of us who dined here ended up with stomach infections the same day. Clearly something was wrong with the food hygiene or freshness. This is not just disappointing — it's dangerous. Would not recommend this place 👎,1,"went there to celebrate our anniversary, it wasn't a good experience. The ambience is average, food is not up to the mark",5,Excellent food Quality and Service,3,"Fantastic Dining Experience at Favela Restaurant!

I had an amazing time at Favela Restaurant! The ambiance is vibrant and beautifully designed — a perfect blend of comfort and style. The staff were warm, attentive, and made sure we were well taken care of throughout our visit.Especially sunny has served us and he is amazing.

The food was absolutely delicious — every dish was packed with flavor and presented beautifully. From starters to dessert, everything exceeded expectations. The menu offers a great variety, and the quality of ingredients really stands out.

Highly recommend Favela Restaurant for anyone looking for a memorable dining experience with great food, service, and...read more",2,,,4,-0.999057353,-0.999426961,0.999867439,0.999889493,,0.000318155,0.84,0.500159077,0.8,0.711055677
63,96,Sahyadri Veg And Non Veg,1000,3.3,"Maharashtrian, North Indian, Mughlai, Biryani, Kebab, Chinese

₹1,000 for two",Best home made style maharashtrian taste food. But I was expecting bhakri instead of tandoor roti. Pls charge little extra but serve bhakri. People will pay. Rest all Gud,2,"Veg food and non-veg food both are very tasty food, you can taste it once.",1,,,,,,,2,0.929246962,0.99941957,,,,0.964333266,0.66,0.982166633,0.4,0.707758322
64,113,Malgudi,450,3.8,"South Indian, Beverages

₹450 for two","Food was really yummy and delicious, their tiffin thali is definitely a hit ! Also beverages like butter milk and coffee are must ones to try",3,,,,,,,,,1,0.999730289,,,,,0.999730289,0.76,0.999865144,0.2,0.703952801
65,60,The Boho House Cocktail Bar,1400,4,"North Indian, Fast Food

₹1,400 for two",Food was amazing recommend sushi and croissant sandwich,1,Food wasn’t that good. We ordered pasta which was half cooked. Even the place wasn’t well lit.,5,The ambience was amazing and staff was very friendly,4,,,,,3,0.999749839,-0.999615431,0.99988091,,,0.333338439,0.8,0.66666922,0.6,0.703334227
66,38,Madrasi Raja,200,4.1,"South Indian, Street Food, Beverages

₹200 for two",Good quality and excellent taste,1,"I ordered Rasam Rice and Idli Wada Sambar, but the experience was very disappointing. The rasam rice didn’t have any rasam with it, and the amount of sambar provided was not enough even for two idlis — I couldn’t eat the wada at all. When I contacted the restaurant, they claimed that rasam and sambar were packed together, which doesn’t make sense.rasam and sambar are not the same.The food also didn’t taste good overall. Very poor quality and packaging. Not worth the money. not worth one star also",5,authentic south Indian food. loved it. with great packing and good delivery services,3,"Both idli and dosa did not taste fresh at all, it tasted stale, white chutney has huge chunks of coconut in it. Sambhar is bad.

Ordered first time, didn’t had a good experience.",2,,,4,0.999873519,-0.999783576,0.999884129,-0.999640703,,8.33E-05,0.82,0.500041671,0.8,0.703014585
67,62,Coconut Chutneey - The South Canteen,200,3.8,"South Indian

₹200 for two",the thing with takeway is - there is no one to check or complain about food quantity. I had ordered through phone for takeway- and compare this to when I had dined at the restaurant - the portion size reduced by 40℅ on takeway food. For parcel they charge extra for additional chutney - and what you get normally with each dish is very little. The other thing is if they reduced the portion size while dining it won't look good - because the rest of the crowd notices and judges the food qty,1,"best South Indian food. upma was awesome. even test of sambar red chutney green chutney was awesome. the test of dosa and idli potato subji.. were awesome.
first time I feel on zomato it is a home cooked food",5,"This is my go to place for having south indian food. Very tasty , good hygiene, they offer wide variety and filter coffee is must try. Highly recommended for authentic south indian.",2,,,,,3,-0.999092221,0.999753892,0.999310017,,,0.333323896,0.76,0.666661948,0.6,0.687331682
68,10,Ruhmani By Hilton Garden Inn,3000,4.2,"North Indian, Chinese, Biryani, Desserts, Beverages

₹3,000 for two",food is good.. service is good.,1,"I would like to take a couple of points which has to be kept in mind

- It doesn't apply the offer for buffet through Zamoto
- Buffet variety is minimal, predominantly non-veg items - starters and main course
- The test is not up to the mark based on their 5-star hotel marking
- Price is too high - You can choose Barbeque Nation, it is the best option with more variety.
- There is a service person Aayush is very unprofessional way of talks as well.
-",5,Food and service were good. Ishaan was helpful in arranging food as per our choice for our baby,4,"Pathetic service to Zomato booking customers, we were expecting Good service from luxurious brands.",3,"Pathetic service. As a diamond member, I felt unwelcomed",2,4,0.999858737,-0.981711149,0.999749243,-0.984202743,-0.999076247,-0.193076432,0.84,0.403461784,0.8,0.677211624
69,8,YOLO Gastro Lounge,1900,4.2,"Finger Food, North Indian, Continental, Desserts, Bar Food, Beverages

₹1,900 for two","Poor service
Arogant Manager
Reserve dance floor for private party without intimation to others
Food quality is poor
No vibes
I regret and waste of money
Don't visit",1,Manoj Rana services was awesome,5,"Not Worth It
The food didn’t taste good, and the yeast items were really bad. Staff didn’t treat us well, and service was slow. The prices were much higher than what was shown online. Totally disappointing visit.",4,"Very Bad Experience
The food was not good, especially the items made with yeast. The service was slow and the staff was not friendly. The prices were too high, and the amount on the bill was more than what I saw on Tomato Booking. I won’t go there again.",3,Good food,2,4,-0.998713255,0.999813497,-0.999755919,-0.999745071,0.999862552,-0.199707639,0.84,0.40014618,0.8,0.676051163
70,64,Mekong Folks,2000,4.6,"Asian, Cantonese, Sushi, Japanese, Chinese, Salad, Seafood, Beverages

₹2,000 for two","We were a group of 8 who visited for dinner.
The food was extremely oily, despite us ordering a minimal and simple spread. Unfortunately, all of us started experiencing throat pain and stomach aches the very next day. This strongly suggests issues with food quality and hygiene. It was a highly unpleasant and concerning experience.",5,Shumona was our server and she was extremely polite. The taste of food and drinks was also really good,3,,,,,,,2,-0.994556904,0.999837995,,,,0.002640545,0.92,0.501320273,0.4,0.643462095
71,66,Aromas Cafe & Bistro,1000,4.5,"Continental, Burger, Sandwich, Pizza, Italian, Arabian, Salad, Desserts

₹1,000 for two","exc e plenty food, great service dont miss it",1,"Very very slow service and we may not come again.
Food was served spicy twice despite telling non spicy",5,,,,,,,2,0.995790184,-0.987514079,,,,0.004138052,0.9,0.502069026,0.4,0.635724159
72,65,Downtown Club,4000,4.5,"Italian, American, Asian, Chinese, Mexican, Modern Indian, North Indian, Beverages

₹4,000 for two",Extremely bad food. Need my money back,3,good service by the Staff,2,,,,,,,2,-0.999799788,0.999819577,,,,9.89E-06,0.9,0.500004947,0.4,0.635001732
73,71,The Rustle Nest,950,4.4,"Continental, North Indian, European, Biryani, Pasta, Sandwich, Desserts, Beverages

₹950 for two",I have been to Rustle nest and food is really good. But Hyderabadi chicken biryani was bad today. Chicken didn't seem to be fresh and it was undercooked and had a little bit of smell.,4,"Rustle Nest is my ultimate go-to spot — a perfect blend of comforting food, cozy seating, and that warm, inviting vibe that keeps pulling me back. Whether it's a casual catch-up or a quiet solo moment, this place never disappoints. The desserts are absolutely incredible — rich, fresh, and indulgent. Don’t leave without trying their carrot & orange cake; it’s next level! I’ve lost count of how many times my friend and I have come back — and we’ll keep doing so.",2,,,,,,,2,-0.996237397,0.999855757,,,,0.00180918,0.88,0.50090459,0.4,0.627316606
74,69,Nawab Asia,1600,4.4,"North Indian, Chinese, Mughlai, Biryani, Seafood, Desserts, Beverages

₹1,600 for two",food was good and Mr Yogi provided nice service .,4,food was bad. speacially punjabi main course... salty,2,,,,,,,2,0.99983573,-0.999719918,,,,5.79E-05,0.88,0.500028953,0.4,0.627010134
75,51,Eight,2000,4.5,"Chinese, Sushi, Asian, Japanese, Desserts

₹2,000 for two","Saw a cockroach on the table while having food , absolutely unacceptable! Instead of addressing the issue properly, all we got was a casual apology from the server with no resolution or follow-up. Extremely disappointing experience.",5,Amazing food great service,3,"45 mins for serving order in empty restaurant and plenty of staff

Seems like they forgot the order for 30 mins",2,,,,,3,-0.99982208,0.999877334,-0.999758184,,,-0.33323431,0.9,0.333382845,0.6,0.626683996
76,70,Copa Villa,1400,4.4,"North Indian, Asian, Continental, Salad, Seafood, Pasta, Pizza, Oriental

₹1,400 for two",food was tasteless.cold food was delivered.very bad experience.i will never ever anything order from copa villa.total money waste.,4,The food taste and service time can be improved,3,,,,,,,2,-0.999721348,0.987330198,,,,-0.006195575,0.88,0.496902213,0.4,0.625915774
77,72,Copa Cabana,1900,4.3,"North Indian, Continental, Asian, Italian, Salad, Biryani, Sandwich, Desserts

₹1,900 for two",service staff specially the captains are utterly rude and in a very wrong attitude which as a client we cannot take it,4,"Highly recommended for food, ambience and vibe",3,,,,,,,2,-0.999210596,0.999759495,,,,0.00027445,0.86,0.500137225,0.4,0.619048029
78,74,Butter - Bar & Kitchen,1800,4.3,"Asian, Italian, Chinese, Sushi, Japanese, Beverages

₹1,800 for two",Butter is my go-to no-brainer brunch place! I have been here so many times and literally every food item I've tried from the menu has been divine. 10/10 recommend to people looking for a nice classy vibe paired with supreme food!,5,service is too slow.,3,,,,,,,2,0.999628782,-0.99976784,,,,-6.95E-05,0.86,0.499965236,0.4,0.618987832
79,73,The Soundtrack Cafe,1000,4.3,"Cafe, Coffee, Beverages, Continental, Italian, Fast Food

₹1,000 for two","We had black coffee, garlic bread, and chili paneer. The taste was excellent!
Service was a bit slow, probably due to the crowd and fresh preparation.
The price was slightly on the higher side — we paid around ₹931 for the above.
Overall, it was a good experience.",5,"Its stale, smells weird and tastes weird",2,,,,,,,2,0.99633503,-0.998905301,,,,-0.001285136,0.86,0.499357432,0.4,0.618775101
80,54,Rustic Sands,1200,4.4,"Chinese, North Indian, Biryani, Mughlai, Seafood, Beverages, Desserts

₹1,200 for two","Went for dinner yesterday and this place is just about ambience. That's it ! Food was subpar and very lousy service. The food was not even hot, the taste was 0. It was just a waste of time and money",5,Food was good. Ambience was good. Renuka served us well.,4,"Mediocre food and mediocre service
Had ordered Spicy Cottage Cheese Mushroom, it had zero flavour and the cottage cheese just felt fake",3,,,,,3,-0.99849534,0.999862432,-0.999785602,,,-0.33280617,0.88,0.333596915,0.6,0.61875892
81,83,Tatva The Vegetarian Kitchen,1000,3.9,"North Indian, Chinese, South Indian, Biryani, Street Food, Fast Food, Oriental, Beverages

₹1,000 for two","Ok ok food.
Kasturi paneer kebab and hara bhara kabab was good
Pav bhaji needs improvement
Mango mastani was just shake nothing else",4,"Very good service and food
Loved it!!!",2,,,,,,,2,-0.696194887,0.999887586,,,,0.151846349,0.78,0.575923175,0.4,0.613573111
82,75,Bao Story,1200,4.2,"Asian

₹1,200 for two",great food,5,Food kinda bland,4,,,,,,,2,0.999876618,-0.999749601,,,,6.35E-05,0.84,0.500031754,0.4,0.611011114
83,78,Savour By Dadus,1000,4.1,"North Indian, Continental, Chinese, Beverages, Desserts, Fast Food, Salad, Kebab

₹1,000 for two",Dal makhani tasted as if it was burnt,5,Very good taste,4,,,,,,,2,-0.996146441,0.999869823,,,,0.001861691,0.82,0.500930846,0.4,0.603325796
84,56,Sreca Rooftop Lounge,1700,4.2,"North Indian, Continental, Asian, Bar Food, Seafood

₹1,700 for two","Food was good, but chicken tikka was more sweet than expected",5,Grossly overpriced food. The menu is likely rigged for Zomato dining pre booked customers?,4,Sweet food test for every dish and beers are too much expensive,3,,,,,3,0.998752952,-0.999785841,-0.999110162,,,-0.333381017,0.84,0.333309491,0.6,0.602658322
85,89,Bird Valley EXPRESS PURE VEG,500,3.9,"North Indian, South Indian, Kebab, Chinese, Biryani, Street Food, Desserts, Beverages

₹500 for two","taste was very sweety didn't liked
not value for money",1,"If you're looking for a quick, satisfying, and delicious vegetarian meal, Bird Valley Express Pure Veg is the place to go!

I recently visited and tried their dosa and sandwiches, and I must say – I was thoroughly impressed!
Dosa – Crispy, golden, and perfectly spiced! The dosa was served fresh off the pan, accompanied by flavorful chutneys and sambar that hit the right notes. Whether it's the classic masala dosa or something more adventurous, every bite was authentic and fulfilling.

Sandwiches – Fresh, crunchy, and loaded with taste! From grilled to cold sandwiches, the flavors were spot on and the ingredients felt premium. Ideal for a light",5,,,,,,,2,-0.906157374,0.9998312,,,,0.046836913,0.78,0.523418456,0.4,0.59519646
86,79,Publiq,2000,4,"Asian, North Indian, Italian, Chinese, Biryani, Kebab, Salad, Beverages

₹2,000 for two","great service, decent ambience and the music was also good. a place which you can def visit and give a try",3,"Most disgusting place to be in Pune
Neither the service nor the food is upto standard
Moreover the people are bossy and makes you pay unwanted money inspite getting the cover charges
The managers are like local goons of the place and not ready to listen anything beyond their arrogance
I personally feel this place is just to fool people and lootify people
Highly disappointed with this Zomato Service",2,,,,,,,2,0.999865651,-0.999588788,,,,0.000138432,0.8,0.500069216,0.4,0.595024226
87,87,Asia Seven – Sizzling Chinese,200,3.9,"Chinese

₹200 for two",today I visited phoenix mall I'll order asia seven wakad Combo meal chilli Garlic Rice 🍚 it's amazing Taste both dish service also fast do visit 😄 again.,3,Stale food,2,,,,,,,2,0.997814775,-0.999721825,,,,-0.000953525,0.78,0.499523237,0.4,0.586833133
88,93,The Urban Belly,250,3.6,"Sandwich, Pizza, Fast Food, Street Food, Coffee, Beverages

₹250 for two","worst shwarma ever. worst taste, packaging, portion",3,"the ambience is good ,and staff is friendly as well.
food is good",2,,,,,,,2,-0.999784648,0.9998734,,,,4.44E-05,0.72,0.500022188,0.4,0.563007766
89,129,Toscano,1800,4.8,"Italian, Pizza, Pasta, Continental, Seafood, Steak, Beverages

₹1,800 for two",,,,,,,,,,,0,,,,,,,0.96,0.5,0,0.559
90,130,Grove Pizzeria,400,4.7,"Pizza

₹400 for two",,,,,,,,,,,0,,,,,,,0.94,0.5,0,0.551
91,131,AB's - Absolute Barbecues,1650,4.7,"North Indian, BBQ, Biryani

₹1,650 for two",,,,,,,,,,,0,,,,,,,0.94,0.5,0,0.551
92,63,Costa Coffee,950,3.5,"Cafe, Coffee, Beverages, Bakery, Desserts

₹400 for two","Nice experience
Best food & service",1,so lame and dull taste,5,Staff served unfresh and cold rool and sandwiches at airport branch costa,3,,,,,3,0.999864101,-0.999809682,-0.99407804,,,-0.331341207,0.7,0.334329396,0.6,0.547015289
93,132,Buon Cibo- The Italian Cafe,850,4.6,"Mexican, Italian, Continental, Pizza, Pasta

₹850 for two",,,,,,,,,,,0,,,,,,,0.92,0.5,0,0.543
94,133,Hoomans- All Day Bar,1200,4.5,"Oriental, Chinese, Continental, Pasta, Seafood, North Indian, Desserts, Beverages

₹1,200 for two",,,,,,,,,,,0,,,,,,,0.9,0.5,0,0.535
95,134,Soy Affair,1000,4.5,"Asian, Chinese, Sushi, Seafood

₹1,000 for two",,,,,,,,,,,0,,,,,,,0.9,0.5,0,0.535
96,135,Uncle's Chinese,1500,4.5,"Chinese, Oriental, Seafood, Cantonese, Sichuan, Asian, Thai, Singaporean

₹1,500 for two",,,,,,,,,,,0,,,,,,,0.9,0.5,0,0.535
97,136,Asia Kitchen By Mainland China,1500,4.5,"Asian, Chinese, Sushi, Thai, Japanese, Beverages

₹1,500 for two",,,,,,,,,,,0,,,,,,,0.9,0.5,0,0.535
98,137,Pop Tate's,1400,4.5,"North Indian, Chinese, Italian, Biryani, Pizza, Pasta, Fast Food, Beverages

₹1,400 for two",,,,,,,,,,,0,,,,,,,0.9,0.5,0,0.535
99,138,Dragonfly - Radisson Blu,3500,4.5,"Asian, Japanese, Indonesian, Korean, Malaysian, Singaporean, Thai

₹3,500 for two",,,,,,,,,,,0,,,,,,,0.9,0.5,0,0.535
100,139,The Urban Foundry,2500,4.5,"Bar Food, North Indian, Pizza, Fast Food, Desserts, Beverages

₹2,500 for two",,,,,,,,,,,0,,,,,,,0.9,0.5,0,0.535
101,140,Vibe Bar & Grill- Courtyard By Marriott Pune Hinjawadi,3000,4.5,"Continental, North Indian, Seafood, American, BBQ, Bar Food, Burger, Desserts

₹3,000 for two",,,,,,,,,,,0,,,,,,,0.9,0.5,0,0.535
102,141,Casa De Silver,1400,4.5,"North Indian, Mughlai, Mexican, American, Chinese, South Indian, Seafood, Beverages

₹1,400 for two",,,,,,,,,,,0,,,,,,,0.9,0.5,0,0.535
103,142,Feast India Company,1400,4.5,"Chinese, Oriental, North Indian, Seafood, Kebab, Desserts, Beverages

₹1,400 for two",,,,,,,,,,,0,,,,,,,0.9,0.5,0,0.535
104,143,Si Nonna’s - The Original Sourdough Pizza,1300,4.5,"Cafe, Italian, Pizza, Desserts

₹1,300 for two",,,,,,,,,,,0,,,,,,,0.9,0.5,0,0.535
105,14,Azzurro,1200,4.1,"Fast Food, Chinese, North Indian, Biryani, Continental, Asian, Desserts, Beverages

₹1,200 for two","worst service amd food!!!! first they were not turning up to take order.after giving order, one hour we did not get the soup and starters, after continuously following up, we got just one soup in grp of 8 ppl, the other 7 soups arrived another 20 mins later. minestrone soup was just the tomato soup with carrots and beans added. they forgot about starters. after following up, they served us pathetic sour chciken starter, which we had to replace. the replacement also came after long wait. over all pathetic service. the serving staff is all new and are not trained properly to serve on weekends. they dont understand hindi and English also. the management has also changed i guess, which has...read more",1,We came early so got the starters quickly. However the main course never came up. finally after waiting for an hour has to leave the place hungry. Even when we were leaving the food was not ready. The waiter sheepishly remarked if they had been given another two minutes. amazingly they never bothered for the entire one hour. Screenshot of the Swiggy order that I had to place.,5,Worst service. I’m still waiting here for my order for the past 1 hour and nobody is even bothered to ask. Pathetic service. Only live music is good else such a pathetic service,4,"Took 45 mins to serve a single dish, worst service and management. Only thing which came on time was bill",3,Worst ever experience. The staff and management are inexperienced to run the restaurant. They should shut.,2,4,-0.999693394,-0.987060785,-0.999508619,-0.999555647,-0.999819458,-0.997127581,0.82,0.00143621,0.8,0.528502673
106,144,I Amsterdam,1700,4.4,"Asian, North Indian, European

₹1,700 for two",,,,,,,,,,,0,,,,,,,0.88,0.5,0,0.527
107,145,Effingut Bistro,1800,4.4,"Asian, Continental, Finger Food, Beverages, Desserts

₹1,800 for two",,,,,,,,,,,0,,,,,,,0.88,0.5,0,0.527
108,146,I'M Lion,2000,4.4,"Seafood, Maharashtrian

₹2,000 for two",,,,,,,,,,,0,,,,,,,0.88,0.5,0,0.527
109,147,Hidden Place - The Hang-out,1200,4.4,"Fast Food, Pizza, Continental, Bar Food, Beverages

₹1,200 for two",,,,,,,,,,,0,,,,,,,0.88,0.5,0,0.527
110,148,The Wise Guys,1700,4.4,"North Indian, Chinese, Pasta, Fast Food, Bar Food, Desserts, Shake, Beverages

₹1,700 for two",,,,,,,,,,,0,,,,,,,0.88,0.5,0,0.527
111,149,Incognito - Restaurant Bar & Cafe,2500,4.4,"Continental, Asian, Italian, Thai, North Indian, Biryani, Desserts, Beverages

₹2,500 for two",,,,,,,,,,,0,,,,,,,0.88,0.5,0,0.527
112,150,Cloud 99,1200,4.4,"North Indian, Mughlai, Seafood, Italian, Japanese, Chinese, Salad, Desserts

₹1,200 for two",,,,,,,,,,,0,,,,,,,0.88,0.5,0,0.527
113,151,Charcoal The Sizzling Sensation,1200,4.4,"North Indian, Mughlai, BBQ, Italian, Biryani, Kebab, Salad

₹1,200 for two",,,,,,,,,,,0,,,,,,,0.88,0.5,0,0.527
114,152,We Idliwale Barroom,1500,4.4,"South Indian, Biryani, Desserts

₹1,500 for two",,,,,,,,,,,0,,,,,,,0.88,0.5,0,0.527
115,153,Si Nonna's - The Original Sourdough Pizza,1000,4.4,"Pizza, Italian, Desserts, Coffee, Beverages

₹1,000 for two",,,,,,,,,,,0,,,,,,,0.88,0.5,0,0.527
116,47,Springrose Restaurant And Banquets,1200,4.6,"South Indian, Continental, Oriental, North Indian

₹1,200 for two","this didn't come from springrose restaurant. can't eat this, totally fake food",1,paneer was too bad. bad quality.overall food also too bad.,3,Service was very slow,2,,,,,3,-0.981034935,-0.999788105,-0.999747217,,,-0.993523419,0.92,0.003238291,0.6,0.519133402
117,154,Xia By Hilton Garden Inn,2500,4.3,"Chinese, Asian, Japanese, Desserts

₹2,500 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
118,155,Caffe Allora,2000,4.3,"Pizza, Pasta, Italian

₹2,000 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
119,156,Swig,1800,4.3,"Bar Food, Asian, Sushi, Pizza, Italian, Continental, Fast Food, Beverages

₹1,800 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
120,157,Good Flippin' Burgers,650,4.3,"Burger, American, Fast Food, Wraps

₹650 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
121,158,Rangla Punjab,950,4.3,"North Indian, Kebab, Mughlai, Biryani, Chinese, Desserts

₹950 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
122,159,Fatcook,700,4.3,"Italian, Mexican, Oriental, Pasta, North Indian, Kebab, Desserts, Beverages

₹700 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
123,160,Hippie @ Heart,1600,4.3,"Finger Food, Italian, Continental, Fast Food, BBQ, Desserts, Beverages

₹1,600 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
124,161,Barbeque Ville,1600,4.3,"North Indian, Desserts

₹1,600 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
125,162,Bharat Bhavan,2000,4.3,"North Indian, Mughlai, Awadhi, Goan, Lucknowi, Kashmiri, Beverages, Desserts

₹2,000 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
126,163,Bombay Bistro,2200,4.3,"Bar Food, Pizza, Asian, North Indian, Oriental, Continental, Chinese, Cafe

₹2,200 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
127,164,Angaar,1400,4.3,"North Indian, Mughlai, Chinese, Seafood, Biryani, Beverages

₹1,400 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
128,165,Karolbaug The Theka,1300,4.3,"North Indian, Seafood, Continental, Italian, Mughlai, Bar Food, Biryani, Desserts

₹1,300 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
129,166,Maratha Samrat,1300,4.3,"Maharashtrian, Seafood, Biryani, Desserts

₹1,300 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
130,167,Barbeque Nation,2100,4.3,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts

₹2,100 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
131,168,Spring Onion,1000,4.3,"Chinese, Asian, Japanese, Seafood, Cantonese, Fast Food, Beverages

₹1,000 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
132,169,Bailamos Alfresco & Dance,2000,4.3,"Italian, Bar Food, North Indian, Chinese, Japanese, Biryani, Fast Food, Desserts

₹2,000 for two",,,,,,,,,,,0,,,,,,,0.86,0.5,0,0.519
133,170,Terrace By Bailamos,3000,4.2,"Asian

₹3,000 for two",,,,,,,,,,,0,,,,,,,0.84,0.5,0,0.511
134,171,Le Parc,1200,4.2,"North Indian, Continental, Italian, Oriental, Chinese, Salad, Kebab, Desserts

₹1,200 for two",,,,,,,,,,,0,,,,,,,0.84,0.5,0,0.511
135,172,24K Kraft Brewzz,2500,4.2,"North Indian, Chinese, Mughlai, Pizza, Italian, Seafood, Beverages, Desserts

₹2,500 for two",,,,,,,,,,,0,,,,,,,0.84,0.5,0,0.511
136,173,Tetto Manhattan,1000,4.2,"Bar Food, Beverages

₹1,000 for two",,,,,,,,,,,0,,,,,,,0.84,0.5,0,0.511
